Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	0.057	1.367	0.382	0.561	12.393	3.671	37.733	0.187	3.343	0.299	0.714
imp	0.962	6.315	0.303	2.072	2.911	5.388	64.48	0.736	2.967	0.337	0.858
imp	1.286	14.294	0.079	2.19	18.061	3.761	150.529	1.397	1.878	0.532	0.568
imp	0.002	0.178	0.899	0.067	4.189	3.788	135	0.048	1	1	1
imp	0.832	4.737	0.466	1.654	4.073	5.457	77.829	0.807	2.408	0.415	0.823
imp	0.113	2.543	0.22	1.075	12.298	4.96	49.582	0.243	5.457	0.183	0.603
imp	0.022	0.864	0.372	0.371	11.125	4.532	79.33	0.086	5.642	0.177	0.791
imp	0.002	0.178	0.899	0.067	4.115	4.21	135	0.048	1	1	1
imp	0.002	0.178	0.899	0.067	3.761	4.332	135	0.048	1	1	1
imp	1.378	14.456	0.083	2.563	13.967	5.193	172.421	1.455	1.943	0.515	0.475
imp	0.029	1.027	0.344	0.308	3.888	4.564	39.428	0.219	1.616	0.619	0.651
imp	0.027	0.689	0.718	0.253	15.953	4.474	164.219	0.148	1.67	0.599	0.931
imp	0.113	1.623	0.538	0.545	11.395	5.119	68.405	0.39	1.448	0.691	0.809
imp	0.193	2.541	0.375	0.924	18.685	4.633	120.964	0.4	2.628	0.38	0.827
imp	0.023	0.624	0.731	0.239	14.274	4.966	27.699	0.143	1.788	0.559	0.901
imp	0.006	0.3	0.871	0.112	14.041	5.098	41.186	0.074	1.22	0.82	0.98
imp	0.017	0.52	0.787	0.189	16.704	5.351	67.011	0.121	1.416	0.706	0.951
imp	0.039	0.907	0.601	0.289	16.608	5.357	129.806	0.212	1.405	0.712	0.896
imp	0.003	0.217	0.879	0.083	19.239	5.563	39.806	0.053	1.209	0.827	0.992
imp	1.623	5.258	0.738	1.758	15.029	8.035	52.201	1.136	1.513	0.661	0.954
imp	2.293	15.049	0.127	2.733	9.525	7.327	156.656	1.674	1.594	0.628	0.612
imp	0.03	0.908	0.452	0.362	10.819	6.756	123.69	0.139	3.181	0.314	0.818
imp	3.287	7.75	0.688	2.903	16.556	8.14	12.721	1.605	1.935	0.517	0.938
imp	0.013	0.433	0.887	0.147	9.292	7.168	59.744	0.121	1.135	0.881	0.958
imp	0.009	0.371	0.786	0.154	11.025	7.084	128.047	0.085	1.812	0.552	0.944
imp	2.652	9.469	0.372	2.837	6.656	7.422	123.069	1.479	2.061	0.485	0.84
imp	0.002	0.178	0.899	0.067	10.475	7.945	135	0.048	1	1	1
imp	1.583	22.622	0.039	3.034	3.175	8.796	136.552	1.478	2.472	0.405	0.455
imp	0.025	0.685	0.656	0.281	4.775	9.012	140.332	0.147	2.073	0.482	0.881
imp	0.004	0.247	0.909	0.097	3.883	9.091	139.399	0.063	1.235	0.81	0.978
imp	0.006	0.298	0.788	0.114	4.538	9.091	146.31	0.063	1.601	0.625	0.962
imp	0.022	0.787	0.452	0.255	2.948	9.318	50.042	0.159	1.674	0.597	0.777
imp	0.04	1.203	0.343	0.429	4.501	9.171	127.999	0.166	3.044	0.329	0.786
imp	1.441	5.014	0.72	1.597	8.759	10.666	31.061	1.372	1.117	0.895	0.947
imp	2.946	6.88	0.782	2.39	14.326	11.062	37.908	1.567	1.562	0.64	0.967
imp	0.006	0.325	0.763	0.127	3.703	9.488	131.634	0.085	1.54	0.65	0.909
imp	0.003	0.203	0.908	0.079	5.272	9.752	132.274	0.053	1.127	0.887	0.986
imp	0.018	0.674	0.485	0.223	3.983	9.831	121.43	0.133	1.897	0.527	0.796
imp	0.021	0.867	0.358	0.35	5.335	9.841	123.93	0.132	3.322	0.301	0.697
imp	0.003	0.217	0.872	0.083	4.12	10.1	39.806	0.053	1.221	0.819	0.987
